Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
2.169,0.051,0.029,0.022,0.000,0.000, ,1.40,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,86.94,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.227,0.007,0.022,0.044,0.000,0.029, ,1.87,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.279,0.000,0.000,0.029,0.000,0.000, ,-0.23,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.359,0.051,0.000,0.037,0.000,0.029, ,0.00,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.418,0.051,0.000,0.015,0.000,0.000, ,1.40,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.506,0.022,0.037,0.037,0.000,0.000, ,1.40,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.542,0.000,0.015,0.029,0.000,0.000, ,1.64,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.594,0.000,0.000,0.029,0.000,0.000, ,-0.47,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.623,0.000,0.000,0.037,0.000,0.029, ,-0.70,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.674,0.044,0.015,0.029,0.000,0.000, ,1.17,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.733,0.051,0.029,0.029,0.000,0.000, ,0.00,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.784,0.051,0.029,0.022,0.000,0.000, ,0.47,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.828,0.051,0.022,0.044,0.000,0.000, ,1.40,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,86.94,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.865,0.051,0.029,0.029,0.000,0.029, ,1.64,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.894,0.007,0.007,0.037,0.007,0.029, ,1.64,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.902,0.015,0.000,0.022,0.000,0.000, ,-0.23,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.924,0.000,0.000,0.022,0.000,0.000, ,0.00,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.953,0.000,0.000,0.022,0.000,0.007, ,0.00,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
2.989,0.051,0.029,0.015,0.000,0.000, ,1.17,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
3.011,0.051,0.037,0.044,0.007,0.000, ,0.94,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,88.89,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
3.004,0.051,0.022,0.022,0.000,0.000, ,0.70,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
3.026,0.022,0.022,0.059,0.007,0.022, ,0.94,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
3.004,0.000,0.000,0.029,0.000,0.000, ,-0.94,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
3.011,0.000,0.000,0.037,0.000,0.000, ,-0.70,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
3.011,0.000,0.000,0.029,0.000,0.000, ,-0.23,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
3.041,0.044,0.015,0.022,0.000,0.000, ,1.87,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
3.055,0.051,0.029,0.022,0.000,0.000, ,1.64,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
3.026,0.000,0.000,0.037,0.000,0.000, ,-0.23,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
3.033,0.029,0.007,0.044,0.000,0.015, ,0.47,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
3.055,0.051,0.022,0.029,0.000,0.015, ,0.94,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
3.077,0.051,0.029,0.037,0.000,0.000, ,1.64,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,86.94,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
3.063,0.000,0.000,0.044,0.000,0.000, ,0.23,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
3.048,0.000,0.000,0.022,0.000,0.000, ,0.00,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
3.070,0.051,0.029,0.037,0.000,0.000, ,1.40,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
3.055,0.000,0.007,0.051,0.007,0.029, ,-0.23,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
3.026,0.000,0.000,0.029,0.000,0.000, ,-0.47,0.00,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,
