Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp
3.407,0.044,0,0.022,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2000.49,0,0,0,4000,0,0,0
3.473,0.029,0,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2182.17,0,0,0,4000,0,0,0
3.546,0.051,0.037,0.037,0.015,0, ,0,0,0,0,0,0,,4000,0,4000,0,2000.49,0,0,0,4000,0,0,0
3.59,0.029,0.037,0.022,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2182.17,0,0,0,4000,0,0,0
3.671,0.051,0.029,0.029,0,0.007, ,0,0,0,0,0,0,,4000,0,4000,0,2182.17,0,0,0,4000,0,0,0
3.751,0.051,0.037,0.044,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2000.49,0,0,0,4000,0,0,0
3.795,0,0.015,0.022,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,1904.76,0,0,0,4000,0,0,0
3.854,0.029,0.022,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2087.42,0,0,0,4000,0,0,0
3.92,0.007,0.037,0.051,0.022,0.044, ,0,0,0,0,0,0,,4000,0,4000,0,2285.71,0,0,0,4000,0,0,0
3.964,0.022,0.037,0.037,0,0.015, ,0,0,0,0,0,0,,4000,0,4000,0,2000.49,0,0,0,4000,0,60.56,0
4.015,0,0.029,0.044,0.015,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,2000.49,0,0,0,4000,0,0,0
4.067,0.007,0.037,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2000.49,0,0,0,4000,0,0,0
4.118,0,0.022,0.044,0.007,0.007, ,0,0,0,0,0,0,,4000,0,4000,0,2285.71,0,0,0,4000,0,0,0
4.125,0,0.007,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2182.17,0,0,0,4000,0,0,0
4.154,0,0,0.037,0.007,0, ,0,0,0,0,0,0,,4000,0,4000,0,2095.24,0,0,0,4000,0,0,0
4.198,0,0,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2087.42,0,0,0,4000,0,0,0
4.235,0,0,0.029,0,0.007, ,0,0,0,0,0,0,,4000,0,4000,0,2182.17,0,0,0,4000,0,60.56,0
4.264,0,0,0.022,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,1817.83,0,0,0,4000,0,0,0
4.323,0.051,0.022,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2182.17,0,0,0,4000,0,0,0
4.345,0.051,0.037,0.029,0,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,2095.24,0,0,0,4000,0,0,0
4.36,0.007,0.029,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2285.71,0,0,0,4000,0,0,0
4.389,0,0.022,0.051,0.007,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,1636.14,0,0,0,4000,0,0,0
4.426,0.007,0.037,0.037,0,0.015, ,0,0,0,0,0,0,,4000,0,4000,0,2476.19,0,0,0,4000,0,0,0
4.455,0.051,0.022,0.044,0.015,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,2285.71,0,0,0,4000,0,0,0
4.455,0.022,0.022,0.029,0,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,2000.49,0,0,0,4000,0,0,0
4.484,0.022,0.044,0.059,0.007,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,2363.86,0,0,0,4000,0,0,0
4.477,0,0,0.029,0,0.015, ,0,0,0,0,0,0,,4000,0,4000,0,2000.49,0,0,0,4000,0,0,0
4.506,0,0.022,0.037,0,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,2182.17,0,0,0,4000,0,0,0
4.477,0.044,0,0.029,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,1912.58,0,0,0,4000,0,0,0
4.535,0.051,0.044,0.037,0,0.029, ,0,0,0,0,0,0,,4000,0,4000,0,2087.42,0,0,0,4000,0,0,0
4.535,0.051,0,0.037,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2087.42,0,0,0,4000,0,0,0
4.528,0.044,0,0.022,0,0, ,0,0,0,0,0,0,,4000,0,4000,0,2000.49,0,0,0,4000,0,0,0
